PartNumber,Description,Cost,Price,OEM,Hollander
DDM5,"CHRY 5.7L B: 319DK, 318DL H: 616DD, DE W/VVT NON/MDS ACTIVE INTAKE 2009",350,550,L5709HPCR,8158 8358
DDM52,"CHRY 5.7L B: 619DK, 618DL H:616DD, DE W/O MDS W/VVT 2013+ 2500-3500",300,550,L5713TCR,8010
DDM9,"CHRY 6.4L B:05037473 H: 05037369BD  W/VVT & MDS 11-17 HEMI CHARGER, CHALLENGER, GRAND CHEROKEE,300",600,1200,,"8992/4,8064A/B,8011/44/97"
DDMA,CHRY 6.4L B:       H:369BD  NON-MDS NON-VVT 11-15 CHALLENGER,250,2,,8993 8012
DDMB,CHRY 6.4L B:05045481AB or 68249194AA H:05045468AE 14-17 RAM 2500/3500,600,1200,DDMB,8019
DDR1,"CHRY 3.8L FWD 4666031AB block, 4666031AB heads, 4694688AA, 4666049AA, Crankshaft - 6433 / 620AA..",50,250,DDR1,8838A
DDR2,"CHRY 3.3L 4666031AB / 688/049AA,AB..",50,2,,8933
DDR3,"CHRY 3.8L 2008-11 WRANGLER Block - 4666031AB, Heads - 4666049AA, 4694688AA, 4694688AB (01-07 app...",150,250,L3808CRW,7038
DDX41,"CHRY 2.4L 2010-17 #0488510AD/04884510AC..SBRING,AVENGER,200,PARIOT",50,175,DDX41,"8972A/C, 8982, 8990, 8996, 101"
DDX5,"CHRY 2.4L 2015-2017 DART,200 HD# 05047338AE",100,300,DDX5,8050A/B  7060A/B
DF02,"FORD 2.3L OHC D42E/D6EE/D8EE/D9 block, D42E/D6EE/D8EE/D7EE/D9 head, tin Front Cover, tin Oil Pan",35,200,DF02,9023A 9023B
DF08,"FORD 300 BL# D5TE,E1TE,D3TE,D1AE,D2AE HD# D2TE,C8TE,E4TE NO POL HOLES",100,150,DF08,9049A/D/E
DF10,"FORD 302 C8TE-B,C8AE,D1MZ-AA,C8OE block D0OE,C8AE-J,D3UE heads",100,200,,9117 9302A/P/Y/Z
DF12,FORD 302 E7TE/E6SE ROLLER NO KN SEN.,200,200,,9450E
DF15,FORD 351W D9AE / D8OE,100,250,,9158
DF16,"FORD 351M/400 B:D4AE, D7TE H: D5AE",100,250,,.
DF17,"FORD 360 BL# C8AE,D3TE,D4TE,C6,C5 HD# C8AE,D2TE,C2,C4,C7,C1",150,250,DF17,9352E 9352F 9360A
DF21,"FORD 400/351M BL# D1AE,D2AE,D3,D4,D5,D7TE,HD# D0AE,D1AE,D3AE,D4AE,D5AE",100,175,DF21,9400A 9400B 9400C 9400D
DF23,FORD 460 1979-85 BL# D9TE HD# D3VE,200,250,DF23,9175A/C/D
DF34,FORD 351W E4AE/E5AE NON ROLLER H.O.,150,175,L351W85T,.
DF38,FORD 351C BL# D2AECA-D0AEJ HD# D1AE-D4AEAA,100,250,DF38,N/A
DF39,"FORD 351W D4AE, D2AE / D5AE",150,,,9058A/D/K/Q
DF41,FORD 351W BL# D4AE HD# D5OE,0,0,,N/A
DF43,"FORD 300 B: E7TE-PA,DB,VA, F2TE, F0TE H: E5TE-VA, E6TE-VA, E7TE-DC WITH POL. TUBES",100,2,L30087WT,9149A 9149B
DF46,"FORD 302 B: EOAE, E5AE, E65E H: D8OE, E5AE, E65E NON ROLLER",200,200,,9450A/B/C/G
DF63,"FORD 200 C8DE block, C6DE, D8DE, C9DE head 1968-1969",100,,,
DF69,"FORD 3.8L B:E3AE, 4AE, E5AE H:E4ZE-B9C,E4SE-AA,E5AE-CA LATE CAM W/THRUST NON ROLLER NO BALANCE",75,175,,300-9038C
DF71,"FORD 289 C3AE,C5AE,C4OE block, C3,C5,C6OE head",150,200,df71,9289B 9289C
DF81,"FORD 300 B:E1TE-AA, E5TE-AA. D5TE-AA H: E5TE, E6TE, E7TE SMOG HEAD",75,125,L30085WT,9049C
DF95,"FORD 3.0L Block - E6AE-AE, E6AE-AG, E9DE-EA, Heads - E6AE-HB, E6AE-HC, Crankshaft - E6AE-AH, F58...",50,100,L3086VF,9030A/B
DF96,FORD 370 CI D9TE-BB / D9TE 1VAB CRANK 4BRL TRUCK,1,2,L370854,
DFA1,"FORD 351W B:E5AE, E9,F0, E4, F4 H: E7TE-PA H.O. SMOG NON ROLLER",200,200,L351W88T,9258A
DFA3,"FORD 7.5L/460 Block - D9TE, Heads - E6TE-DA, Crankshaft - 3Y, 3YA, 3YAB..",125,200,L460854,9175C 9175D
DFA4,FORD 302 B:E7TE H: E7TE TRUCK NON ROLLER W/KNOCK,200,250,L30287KSF,.
DFA5,"FORD 300 B: E1TE-AA, E5TE-AA, D5TE-AA H: D2TE-AA, D4TE-MA, E6TE-VA N-SMOG, W/FP HOLE",100,125,L30083NT,9049D
DFAC,"FORD 4.0L 97JM with bal. shaft block, 97JM head, 97JM-AD front cover, 5L2E-AA oil pan",100,250,L4097WBS,09009A/B/C
DFAE,"FORD 4.6L 2V XW7E BIG HOLE block, 1L2E head, XR3E-BB front cover, F7ZE-AA/AB or XR3E-DB oil pan..",125,350,L4601R2M,"09083C,F,G"
DFAE-LB,"FORD 4.6L 2V XW7E BIG HOLE block, 1L2E head, XR3E front cover, NO OIL  PAN",100,150,L4601R2M,NA
DFAF,"FORD 4.6L 2V XW7E BIG HOLE block, 1L2E head, F65E front cover, F7UE oil pan",150,350,L4601R2V,09077C
DFAJ,"FORD 4.6L 2V XW7E SM HOLE block, 1L2E  head, 2W7E-AA/AB/AC front cover, F7ZE-AA/AB or XR3E-DB oi...",150,350,L4602R2M,09083C
DFAP,"FORD 4.6L 2V F65E block, F5AE head, F8ZE-BA or F7ZE-AA front cover, F6SE-AB oil pan..",100,350,L4696R2B,09063 09094N
DFAR,"FORD 4.6L 2V XW7E SM HOLE block, 1L2E head, 2W7E-AA/AB/AC front cover, 3W7E or F8AE-AD oil pan.., FORD 4.6L 2V XW7E SM HOLE block, 1L2E head, 2W7E-AA/AB/AC front cover, 3W7E or F8AE-AD oil pan....",150,350,L4602R2F,9083D/E/H/J
DFAR-LB,"FORD 4.6L 2V XW7E SM HOLE block, 1L2E head, LONG BLOCK ONLY",100,350,L4602R2T/V,9083D/E/H/J
DFAT,"FORD 4.6L 2V F65E block, F5AE head, F8ZE-BA or F7ZE-AA front cover, F7ZE-AA/AB or XR3E-DB oil pan, FORD 4.6L 2V F65E block, F5AE head, F8ZE-BA or F7ZE-AA front cover, F7ZE-AA/AB or XR3E-DB oil pan..",125,350,L4696R2M,09094Q 09094M
DFAU,"FORD 4.6L 2V F7AE or XW7E 4 PIN block, F5AE or F8AE head, F65E-AB/AC/AD front cover, F7UE-AE/AF ...",150,250,L4699R2V,09094G 09094J
DFAW,"FORD 4.6W 2V F65E or F75E block, F65E or F75E head, F65E front cover, F65E oil pan.., FORD 4.6W 2V F65E or F75E block, F65E or F75E head, F65E front cover, F65E oil pan ..",125,375,L4697W2TA,09746C
DFAW-LB,"FORD 4.6W 2V F65E or F75E block, F65E or F75E head, LONG BLOCK ONLY ...., FORD 4.6W 2V F65E or F75E block, F65E or F75E head, LONG BLOCK ONLY ..",100,350,L4697W2,.
DFAX,"FORD 4.6W 2V F65E block, F75E head, F65E front cover, F7UE oil pan",150,350,L4697W2VU,09746B 09746C
DFAY,"FORD 5.4L 2V F75E block, F75E head, F75E-AA/BA or F85E-AA front cover, F81E-AF oil pan",200,375,L5499W2SD,9007A 9007B
DFBF,"FORD 6.8L 2V PI 5C3E/1C2E LP 2L3E/F8UE VAN...., FORD 6.8L 2V PI 5C3E/1C2E LP 2L3E/F8UE VAN..",600,800,DL6805EPI,9107A/B 9262A/C
DFBF-LB,FORD 6.8L 5C3E/1C2E LONGBLOCK,600,800,DL6803,.
DFBF-SD,"FORD 6.8L 2V 5C3E block, 1C2E LP  head, 2L3E-BA front cover, F81E-DE/DF oil pan",600,800,DL6805FPI,
DFC6,"FORD 460 B:D9TE, E7TE H:E7TE-BD FUEL INJ.",250,300,L46088F,9947
DFCA,"FORD 4.6L 2V XW7E SM HOLE block, 1L2E head, 2L3E front cover, F7UE oil pan",150,350,L4602R2V,09077C 09077F 09077G
DFCC,"FORD 4.6L 2V XW7E SM HOLE block, 1L2E head, 2L3E-AA/AB front cover, XL1E-CA or F65E-HA/HB oil pa...",150,350,L4602R2T,9077E 9077A 9077K
DFCE,"FORD 6.8L 2V PI 3C3E/1C2E VAN...., FORD 6.8L 2V PI 3C3E/1C2E 2L3E/F8UE VAN....",600,800,DL6804EPI,9107A 9107B
DFCE-1C1C,FORD 6.8L 2V PI 1C3E/1C2E 2L3E/F8UE,600,800,DL6802EPI,9107A
DFCF,"FORD 4.6W 2V F75E block, XL3E head, XR3E-BB front cover, F7ZE-AA/AB or XR3E-DB oil pan..",150,375,L4600W2M,09006F
DFCH,"FORD 5.4L 2V F75E block, F75E head, F75E-AA/BA or F85E-AA front cover, F7UE-AE/AF oil pan",200,375,L5497W2VA,9007B 9022 9054B
DFCJ-2L1E,"FORD 5.4L 2V F75E block, XL3E or 2L1E head, F85E-AA front cover, F81E-AF oil pan",175,375,L5400W2SD,"9018C, 9018D"
DFCJ-XL3E,"FORD 5.4L 2V F75E block, XL3E or 2L1E head, F85E-AA front cover, F81E-AF oil pan",175,375,L5400W2SD,9018C 9018D
DFCK-F7/2L1E,"FORD 5.4L 2V F75E block, XL3E or 2L1E head, F85E-AA front cover, F7UE-AE/AF oil pan",200,375,L5400W2VU,NA
DFCK-F7/XL3E,"FORD 5.4L 2V F75E block, XL3E or 2L1E head, F85E-AA front cover, F7UE-AE/AF oil pan",200,375,L5400W2VU,9018C 9018D
DFCM,"FORD 4.6L 2V F2VE or F4VE block, F5AE / F8AE head, F3AE-AC/AB front cover, F8AE-AB/AC/AD oil pan...",100,350,L4695R2F,9097
DFCN,FORD 6.8L 2V PI 1C3E/1C2E  2L3E-BA/F81E-DE/DF SD..,600,800,DL6802FPI,09107A 09107B
DFCN-LB,FORD 6.8L 2V PI 1C3E/1C2E  ..,600,800,DL6802,NONE
DFCP,"FORD 5.4L 2V 2L1E block, 2L1E head, 2L3E-BA front cover, F7UE-AE/AF oil pan",250,375,L5402W2VU,9104A/B/C/D
DFCR,"FORD 6.8L 3V 5C3E block, 5C3E head, 5C3E-BA  front cover, F81E-DF oil pan, FORD 6.8L 3V 5C3E block, 5C3E head, 5C3E-BA  front cover, F81E-DF oil pan..",600,800,DL6805W3SD,9168B 9265
DFCS-2L1E,"FORD 5.4L 2V 2L1E or 3L3E block, 2L1E head, 2L3E-BA front cover, F81E oil pan",250,375,L5402W2SD,9354A/B/E/F
DFCS-3L3E,"FORD 5.4L 2V 2L1E or 3L3E block, 2L1E head, 2L3E-BA front cover, F81E oil pan",200,375,L5402W2SD,N/A
DFCW,"FORD 5.4L 2V 2L1E or 3L3E block, 2L1E head, 2L3E-BA front cover, XL1E-CA or F65E-HA/HB oil pan",250,375,L5402W2TU,9132
DFCW-LB,"FORD 5.4L 2V 2L1E or 3L3E block, 2L1E head, 2L3E-BA front cover, NO oil pan",150,250,L5402W2,
DFCZ,FORD 2.5L MONDEO 1A-831-AB,100,,,66010A 66010B
DFD1,"FORD 3.8L B: E9SE, F1SE H: E9CE,E8DE,F3SE,E9DE,F4SE ROLLER CAM N/BALANCE SHAFT.., FORD 3.8L B: E9SE, F1SE H: E9CE,E8DE,F3SE,E9DE,F4SE ROLLER CAM N/BALANCE SHAFT..   ..",100,150,,9029 9238A 9238C
DFD2,"FORD 4.6L 3V 7L2E block, 9L3E-BB 9L3E Cam head, 7R3E-AA front cover, 9L3E-EB (no sensor hole) oi...",300,450,L4609R3T,9294 9295
DFD2-LB,"FORD 4.6L 3V 7L2E block, 9L3E-BB 9L3E Cam head, 7R3E-AA front cover NO OIL PAN",150,450,L4609R3T,NA
DFD4,"FORD 2.3L (OHC) E89E block, E89E-AB head",50,200,DFD4,9323A/B/C/D/E
DFD5,"FORD 3.0L Block - E6AE-AE, E6AE-AG, E9DE-EA, Heads - E6AE-HB, E6AE-HC, Crankshaft - E6AE-AH, F58...",50,150,L3090VR/VF,9030C 9030D
DFD7,"FORD 2.9L 89TM or 90TM block, 86TM head",50,150,,.
DFD8,"FORD 4.6L 3V 3L2E-CC block, 3L3E 5L1E cam head, 4R3E-BF/BG front cover, 5R3E-DB/DA (with sensor ...",350,450,L4605R3M,9346A 9346B
DFD8-LB,FORD 4.6L 3V 3L2E-CC block 3L3E head Long block or PARTIAL SHEETMETAL..,350,450,L4605R3M,NA
DFDA,"FORD 5.4L 3V 3L3E block, 9L3E small plug head, 5C3E-BA or 3R2E-CA front cover, F81E-AF oil pan",350,450,L5408W3SD,
DFDA-LB,"FORD 5.4L 3V 3L3E block, 9L3E small plug head, 5C3E-BA or 3R2E-CA front cover NO OIL PAN",365,500,L5408W3SD,9454C 9264
DFDC,"FORD 4.6W 2V F75E block, 2L1E head, 2L3E-AA/AB front cover, XL1E-CA or F65E-HA/HB oil pan.., FORD 4.6W 2V F75E block, 2L1E head, 2L3E-AA/AB front cover, XL1E-CA or F65E-HA/HB oil pan....",150,375,L4602W2SC,09143A/B
DFDC-LB,"FORD 4.6W 2V F75E block, 2L1E head, LONG BLOCK ONLY",100,250,L4602W2,.
DFDE,"FORD 4.6L 2V 1L2E-BB, 3L2E-CA,or 3L2E-CC block, 1L2E head, 2L2E-AA/AD or 2L1E-DC/DE or 1L2E-AE f..., FORD 4.6L 2V 1L2E-BB, 3L2E-CA ,or 3L2E-CC block, 1L2E head, 2L2E-AA/AD or 2L1E-DC/DE or 1L2E-AE ...",150,350,L4602R2E,9108 9125
DFDE-LB,"FORD 4.6L 2V 1L2E-BB, 3L2E-CA  or 3L2E-CC block, 1L2E head,  LONG BLOCK",150,350,L4602R2E,9108  9125
DFDF,"FORD 2.3L 1L5G,4L5G block, 1S7G head, 1L5G-6059-AG Front Cover, 1L5G-6675-AG/AH/AJ/AK Oil Pan",150,350,L2301SP,9087
DFDH-1L/1LM,"FORD 4.0L 1L2E block with bal. shaft, 1L2E SHAVED head, 1L2E-AA front cover, 5L2E-AA oil pan..",100,250,L4001WBS,
DFDH-5L/1LM,"FORD 4.0L 5L2E block no bal. shaft, 6L2E OR 1L2E SHAVED with oil bar head, 1L2E-AA front cover, ...",100,250,L4005NBS,9140C 9245
DFDH-5L/6L,"FORD 4.0L 5L2E block with bal. shaft, 6L2E OR 1L2E SHAVED with oil bar head, 1L2E-AA front cover...",100,250,L4005WBS,NA
DFDH-NON-MILLED,FORD 4.0L OHC BL-1L2E HD- 1L2E NON MILLED-1L5E-1L5E,100,250,L4001NBS,NA
DFDJ-1L/1L,"FORD 4.0L 1L2E block no bal. shaft, 1L2E SHAVED head, 1L2E-AA front cover, 5L2E-AA oil pan",100,250,L4001NBS,"300-09110C, 300-09140B, 300-9"
DFDJ-5L/1L,"FORD 4.0L FORD 4.0L 5L2E block with bal. shaft, 1L2E SHAVED head, 1L2E-AA front cover, 5L2E-AA o...",100,250,L4005WBSM,
DFDJ-5L/1LM,"FORD 4.0L 5L2E block no bal. shaft, 1L2E SHAVED head, 1L2E-AA front cover, 5L2E-AA oil pan",100,250,L4005NBSM,NA
DFDK,"FORD 2.3L 1L5G,4L5G block, 1S7G head, 1L5G-6059-AG Front Cover, 1L5G-6675-AG/AH/AJ/AK Oil Pan.., FORD 2.3L 1L5G,4L5G block, 1S7G head, 1L5G-6059-AG Front Cover, 1L5G-6675-AG/AH/AJ/AK Oil Pan",125,350,L2302SP,09118A
DFDM,"FORD 2.3L 4L5G block, 1S7G head, 1L5G-6059-AG Front Cover, 1L5G-6622-AC Oil Pan",100,350,L2304SP,09118B 09118C
DFDN-3L3E-12mm,"FORD 5.4L 3V 3L3E block, 3L3E 12mm head, 3L3E-GA/GC/GD or 7L3E-CA front cover, 2L1E-GA or 9L3E-D...",250,450,L5408W3TU,
DFDN-9L3E,"FORD 5.4L 3V 3L3E block, 9L3E-BB 9L3E Cam head, 3L3E-GA/GC/GD or 7L3E-CA front cover, 2L1E-GA or...",350,500,L5409W3TU - L5409W3TUNP,9454B/D/E 9296
DFDN-LB,"FORD 5.4L 3V 3L3E block, 9L3E-BB 9L3E Cam head  LONG BLOCK",350,500,L5409W3,NA
DFDV-3L/3L,"FORD 5.4L 3V 3L3E block, 3L3E / 2005 (5L1E CAMS) head, 3L3E-GA/GC/GD front cover, 3L3E-GA or 2L1...",300,450,L5404W3TU,9217 9454B 9454D 9454E
DFDV-7L/3L,"FORD 5.4L 3V 3L3E block, 3L3E / 2005 (5L1E CAMS) head, 7L3E-CA front cover, 3L3E-GA or 2L1E-GA (...",300,450,L5404W3TU / L5404W3TUNP,
DFDV-LB,"FORD 5.4L 3V 3L3E block, 3L3E / 2005 (5L1E CAMS) head, 3L3E-GA/GC/GD or 7L3E-CA front cover LONG...",300,450,L5404W3,300-9454A
DFDW,"FORD 5.4L 3V 3L3E block, 3L3E / 2005 (5L1E CAMS) head, 5C3E-BA or 3R2E-CA front cover, 5C3E-BA o...",300,450,L5405W3SD,9454C
DFDW-LB,"FORD 5.4L 3V 3L3E block, 3L3E / 2005 (5L1E CAMS) head, 5C3E-BA or 3R2E-CA front cover, NO OIL PAN, FORD 5.4L 3V 3L3E block, 3L3E / 2005 (5L1E CAMS) head, 5C3E-BA or 3R2E-CA front cover NO OIL PAN",300,450,L5405W3SD,
DFDY,"FORD 4.6L 3V 6L2E or 7L2E block, 3L3E-5L1E cam head, 4R3E-BF/BG front cover, 6L2E-DC (with senso...",300,450,L4606R3E,9182
DFDY-LB,"FORD 4.6L 3V 6L2E or 7L2E block, 3L3E-5L1E cam head, LONG BLOCK ONLY",300,450,L4606R3E,NA
DFDZ,"FORD 6.8L 3V 5C3E block, 5C3E head, 5C3E-BA or 3R2E-CA front cover, F81E-DF oil pan......, FORD 6.8L 3V 5C3E block, 5C3E head, 5C3E-BA or 3R2E-CA front cover, F81E-DF oil pan..",700,800,DL6805W3SD,9168A
DFE1,FORD 4.0L OHV BL# 90TM HD# 90TM,75,150,L4090BB,71041A 71041D
DFE7,"FORD 3.0 VULCAN 1989-90 NON ROLLER RWD BL#E9DE, F2DE HD# E6AE",75,125,DFE7,9030A 9030B
DFEH,"FORD 4.6L 2V 1L2E-BB, 3L2E-CA, 3L2E-CB block, 1L2E head, 2L2E-AA/AD or 2L1E-DC/DE or 1L2E-AE fro...",200,350,L4603R2ED,9128
DFEH-LB,"FORD 4.6L 2V 3L2E-CA, 3L2E-CB block, 1L2E head, LONG BLOCK ONLY",150,350,L4603R2ED,.
DFEP,"FORD 3.9L 2004-07 FREESTAR, FORD 3.9L 4F2E,3F2E,1F2E / YF2E. XF2F. XF2E",75,2,,9039A/B/C
DFEW-3G-74,"FORD 3.0L B: 3W4E, 4F1E H: 3M4E MAZDA 6..",100,275,L3003M6,"66028A/B, 66029A/B"
DFEW-3G-741-AA,FORD 3.0L MAZDA 6 M/T,100,,L3003M6,
DFEW-4G-74,FORD 3.0L B: 4F1E H: 3M4E MAZDA 6 ..,100,275,L3003M6,
DFEW-6G-742-AA,"FORD 3.0L 6E5E/3M4E VCT 2003-08 MAZDA 6, FORD 3.0L 6E5E/3M4E VCT 3M4E-BG/6E5E 6G-742-AA",100,2,L3006M6,
DFEX-6L2E,"FORD 4.6L 2V XW7E SM HOLE or 6L2E block, 1L2E head, 3L3E-AA/AB front cover, 2L1E-FA/HA oil pan",200,350,L4604R2T,NA
DFEY,"FORD 4.6L 4V 1L2E-BB, 3L2E-CC block, 2C5E head, 2C5E-CA/DA front cover, 1L2E-GB oil pan, FORD 4.6L 4V 1L2E-BB, 3L2E-CC block, 2C5E head, 2C5E-CA/DA front cover, 1L2E-GB oil pan..",300,450,L4603R4LA,9126A
DFF1-0D-786-AB,"FORD 2.0L 4V 1S7G,4M5G block, 1S7G head, 1S7G-6019- front cover, 1S7G oil pan (0D-786-AB)",100,200,AT1Z6006ARM,NA
DFF1-JG-170-AA,"FORD 2.0L 4V 1S7G,4M5G block, 1S7G head, 1S7G-6019- front cover, 1S7G oil pan (JG-170-AA)",50,200,DFF1-JG-170-AA,9195A /B
DFF10,"FORD 3.5L AT4E-6015-DB block, AT4E-AA/EA/EC or DG1E head, BT4E-6059-BA/BB/BC Front Cover, AT4E-6...",150,300,L3511ED,9835E 9436A/B
DFF11,"FORD 3.5L BL3E-AD,AE,BA block, BL3E-FA head, BR3E-6059-BA/BB/EA Front Cover, BR3E-6675-NA/PA Oil...",300,400,L3511EBTU,9535
DFF12,"FORD 3.5L  AT4E-6015-DB block, AT4E-AA/EA/EC or DG1E 12 hole ex. head, BT4E-6059-BA/BB/BC Front ...",150,300,L3512ED,9835A/B/C/D/E
DFF12-LB,"FORD 3.5L  AT4E-6015-DB block, AT4E-AA/EA/EC or DG1E 12 hole ex. head, BT4E-6059-BA/BB/BC Front ...",150,300,L3512ED,.
DFF13,"FORD 3.5L BL3E-AD,AE,BA block, BL3E-FA & DL1E head, BR3E-6059-BA/BB/EA Front Cover, BR3E-6675-NA...",300,400,L3513EBTU,9735A/B 9935
DFF13-LB,"FORD 3.5L BL3E-AD,AE,BA block, BL3E-FA & DL1E head, BR3E-6059-BA/BB/EA Front Cover, NO Oil Pan",250,400,L3513,NA
DFF14,FORD 3.5L B: BL3E H: DG1E TC: BR3E OP: BR3E NON TURBO 2016 F-150,200,400,FL3Z6006BRM,9368
DFF15,FORD 3.5L TURBO HEAD HL3E JS-364-AA,300,450,L3515TB,300-10007
DFF22,"FORD 3.5L 2016-19  AT4E-block, AT4E- or DG1E 12 HOLE head, BT4E-6059- Front Cover, BT4E/DG1E-667...",150,300,L3516ED,9835C  9835D
DFF6,"FORD 4.6L 2V F1AE block, F1AE head, F1AE or F2AE-AA front cover, F1AE oil pan, FORD 4.6L 2V F1AE block, F1AE head, F1AE or F2AE-AA front cover, F1AE oil pan ..",150,250,L4691R2F,9046
DFF8,"FORD 300 EFI NO SMOG BL# E7TE,F2TE,F0TE HD# E7TE NO POL. TUBES",100,150,L30087LPT,9149C 9149D
DFFA,"FORD 2.3L 6M8G VCT block, 6M8G VCT head, 6M8G-6059-AD/AE Front Cover, 6M8G-6675-AC Oil Pan",100,250,L2306M6,09183 09151
DFFB,"FORD 5.0L 4V FR3E block, FL3E head, BL3E front cover, BL3E oil pan",300,500,L5015TU,9650A
DFFG,"FORD 5.0L 4V BR3E block, BR3E head, BL3E front cover, BL3E oil pan",300,500,L5011TU,9550A/B/C
DFFG-LB,"FORD 5.0L 4V BR3E block, BR3E head, NO front cover, NO oil pan",300,500,L5011,.
DFFG2,"FORD 5.0L 4V BR3E block, FL3E head, BL3E front cover, BL3E oil pan",300,500,L5013TU,9550B/C
DFFH-6L2E,"FORD 4.6L 2V 6L2E block, 1L2E LP head, 6W7E-AA front cover, 3W7E-BB/BD oil pan, FORD 4.6L 2V 6L2E block, 1L2E LP head, 6W7E-AA front cover, 3W7E-BB/BD oil pan..",200,350,L4605R2F,"9083H/J/K/M/N/P,9102A/B/C,919"
DFFH-7L2E,"FORD 4.6L 2V 7L2E block, 1L2E LP head, 6W7E-AA front cover, 3W7E-BB/BD oil pan....",200,350,L4607R2F or L4609R2F,"9083H/J/K/M/N/P,9102A/B/C,"
DFFJ,"FORD 2.3L 5L8G VCT block, 3S4G VCT head, 3M4G-6059-CA/3M4G-6019-CA/CB Front Cover, 3M4G-6675-AF/...",100,250,L2305M6,66723
DFFK-6L2E,"FORD 4.6L 2V 6L2E block, 1L2E LP head, 4C2E-BA/BB front cover, F7UE-AE/AF oil pan..",200,350,L4605R2V,
DFFK-7L2E,"FORD 4.6L 2V 7L2E block, 1L2E LP Flex Fuel head, 4C2E-BA/BB or 7L3E-BA/BB front cover, F7UE-AE/A...",200,350,L4609R2V,09077J 09077H
DFFL,"FORD 2.3L EJ7E-6015-DB block, EJ7E-6090-EC head, CJ5E Front Cover, FR3E-6675-AC Oil Pan",125,350,DFFL,9218
DFFM,"FORD 2.3L 3M4G VCT block, 3S4G VCT head, 3M4G-6059-CA/3M4G-6019-CA/CB Front Cover, 3M4G-6675-AF/...",100,250,L2304M6,66027
DFFN,"FORD 2.3L 3M4G VCT block, 3S4G VCT head, 3M4G-6059-CA/3M4G-6019-CA/CB Front Cover, 3M4G-6675-AF/...",100,250,L2303M6,"300-66027A, B"
DFFP,"FORD 3.5L 7T4E-DC,DD,DE,DF block, 7T4E head, 7T4E-6C086-GC/GD/GE Front Cover, 7T4E-6675-GA/GB/GC...",150,300,L3507FEM,9186A/C
DFFP2,"FORD 3.5L 9T4E-BA OR AT4E-CC,CD W/PIS CLRS block, 8T4E head, 7T4E-6C086-GF/GG Front Cover, 7T4E-...",150,300,L3509FEM,9186B/C
DFFP3,"FORD 3.5L AT4E-6015-DB block, BA5E-AA/BA (NO CAMBORE) head, 7T4E-6C086-GG/GH Front Cover, 7T4E o...",150,300,L3511TF,9186B/C 9335
DFFQ,"FORD 5.0L 4V BR3E block, BR3E head, BR3E front cover, BR3E oil pan",300,500,L5011MU,9550A/B/C
DFFR,"FORD 2.3L T5251 TURBO block, L3K9 VCT head, L3K9 Front Cover, L3K9 Oil Pan",150,350,L2306MT*,66623A 66623B
DFFS,"FORD 5.0L 4V BR3E block, CR3E head, BR3E front cover, CR3E MT oil pan",350,500,L5012MUB,9203
DFFT,"FORD 6.8L 2V PI 3C3E/1C2E 2L3E/F81E SD6.8W SOHC (2V) F-Series/Excursion, PI heads...., FORD 6.8L 2V PI 3C3E/1C2E 2L3E/F81E SD..",600,800,DL6804FPI,9107A 9107B
DFFV-6L2E,"FORD 4.6L 2V 6L2E block, 1L2E LP head, 4L3E-AA or 4C2E-BB front cover, 2L1E-FA/HA oil pan, FORD 4.6L 2V 6L2E block, 1L2E LP head, 4L3E-AA or 4C2E-BB front cover, 2L1E-FA/HA oil pan..",200,350,L4605R2T,09004A
